Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Clindamycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Azithromycin,Ciprofloxacin,Gentamicin,Effective against common pathogens causing this disease.
bacterial_meningitis,Ceftriaxone,Metronidazole,Tetracycline,Effective against common pathogens causing this disease.
strep_throat,Vancomycin,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Ceftriaxone,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
sinusitis,Ceftriaxone,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
cholera,Doxycycline,Erythromycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Amoxicillin,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
ear_infection,Amoxicillin,Ciprofloxacin,Tetracycline,Effective against common pathogens causing this disease.
osteomyelitis,Doxycycline,Clindamycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
whooping_cough,Vancomycin,Linezolid,Ampicillin,Chosen for its targeted activity and minimal side effects.
tuberculosis,Doxycycline,Erythromycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
bacterial_endocarditis,Vancomycin,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
chlamydia,Doxycycline,Erythromycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
scarlet_fever,Ceftriaxone,Linezolid,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Vancomycin,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
typhoid_fever,Amoxicillin,Ciprofloxacin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Doxycycline,Linezolid,Gentamicin,Effective against common pathogens causing this disease.
campylobacteriosis,Azithromycin,Metronidazole,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Azithromycin,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Ceftriaxone,Clindamycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
bacterial_meningitis,Doxycycline,Clindamycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
strep_throat,Vancomycin,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
pyelonephritis,Amoxicillin,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
sinusitis,Amoxicillin,Ciprofloxacin,Tetracycline,Effective against common pathogens causing this disease.
cholera,Amoxicillin,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
legionnaires_disease,Vancomycin,Metronidazole,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Doxycycline,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Ceftriaxone,Metronidazole,Tetracycline,Effective against common pathogens causing this disease.
whooping_cough,Doxycycline,Linezolid,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Amoxicillin,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Vancomycin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
chlamydia,Amoxicillin,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Doxycycline,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
skin_abscess,Amoxicillin,Ciprofloxacin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Doxycycline,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Doxycycline,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
campylobacteriosis,Ceftriaxone,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
diphtheria,Vancomycin,Clindamycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Amoxicillin,Ciprofloxacin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
strep_throat,Azithromycin,Clindamycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Amoxicillin,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
sinusitis,Vancomycin,Ciprofloxacin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Doxycycline,Metronidazole,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Ceftriaxone,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Azithromycin,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Doxycycline,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
whooping_cough,Doxycycline,Ciprofloxacin,Levofloxacin,Effective against common pathogens causing this disease.
tuberculosis,Ceftriaxone,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Vancomycin,Erythromycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Ceftriaxone,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Amoxicillin,Linezolid,Ampicillin,Effective against common pathogens causing this disease.
skin_abscess,Azithromycin,Erythromycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Ceftriaxone,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Vancomycin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Ceftriaxone,Ciprofloxacin,Ampicillin,Chosen for its targeted activity and minimal side effects.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
diphtheria,Vancomycin,Metronidazole,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Ceftriaxone,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
strep_throat,Vancomycin,Linezolid,Ampicillin,Chosen for its targeted activity and minimal side effects.
pyelonephritis,Doxycycline,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
sinusitis,Amoxicillin,Linezolid,Gentamicin,Chosen for its targeted activity and minimal side effects.
cholera,Doxycycline,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Doxycycline,Erythromycin,Ampicillin,Effective against common pathogens causing this disease.
ear_infection,Amoxicillin,Metronidazole,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Azithromycin,Linezolid,Ampicillin,Chosen for its targeted activity and minimal side effects.
whooping_cough,Vancomycin,Metronidazole,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
tuberculosis,Doxycycline,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
bacterial_endocarditis,Amoxicillin,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Azithromycin,Linezolid,Levofloxacin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Ceftriaxone,Ciprofloxacin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Amoxicillin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Amoxicillin,Linezolid,Tetracycline,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Ceftriaxone,Linezolid,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
campylobacteriosis,Vancomycin,Linezolid,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
diphtheria,Amoxicillin,Erythromycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
bacterial_meningitis,Vancomycin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Ceftriaxone,Linezolid,Levofloxacin,Effective against common pathogens causing this disease.
pyelonephritis,Doxycycline,Linezolid,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Vancomycin,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Ceftriaxone,Linezolid,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Azithromycin,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
ear_infection,Ceftriaxone,Linezolid,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Ceftriaxone,Ciprofloxacin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
whooping_cough,Doxycycline,Clindamycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Vancomycin,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
bacterial_endocarditis,Ceftriaxone,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
chlamydia,Azithromycin,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Doxycycline,Ciprofloxacin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Vancomycin,Linezolid,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Amoxicillin,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Doxycycline,Linezolid,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
campylobacteriosis,Azithromycin,Linezolid,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
diphtheria,Doxycycline,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Vancomycin,Ciprofloxacin,Ampicillin,Chosen for its targeted activity and minimal side effects.
strep_throat,Amoxicillin,Clindamycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Doxycycline,Clindamycin,Ampicillin,Effective against common pathogens causing this disease.
sinusitis,Amoxicillin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
cholera,Vancomycin,Linezolid,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
legionnaires_disease,Amoxicillin,Ciprofloxacin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Amoxicillin,Clindamycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Ceftriaxone,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
whooping_cough,Ceftriaxone,Metronidazole,Tetracycline,Effective against common pathogens causing this disease.
tuberculosis,Azithromycin,Ciprofloxacin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Ceftriaxone,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
chlamydia,Doxycycline,Erythromycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Amoxicillin,Erythromycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Azithromycin,Clindamycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
typhoid_fever,Doxycycline,Erythromycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Azithromycin,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
campylobacteriosis,Amoxicillin,Linezolid,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
diphtheria,Ceftriaxone,Linezolid,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Vancomycin,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Vancomycin,Linezolid,Rifampin,Chosen for its targeted activity and minimal side effects.
pyelonephritis,Doxycycline,Linezolid,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Azithromycin,Clindamycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
cholera,Amoxicillin,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Azithromycin,Erythromycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Amoxicillin,Erythromycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Azithromycin,Ciprofloxacin,Gentamicin,Effective against common pathogens causing this disease.
whooping_cough,Amoxicillin,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
tuberculosis,Amoxicillin,Linezolid,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Vancomycin,Erythromycin,Rifampin,Chosen for its targeted activity and minimal side effects.
chlamydia,Doxycycline,Erythromycin,Levofloxacin,Effective against common pathogens causing this disease.
scarlet_fever,Vancomycin,Clindamycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
skin_abscess,Doxycycline,Linezolid,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Azithromycin,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Amoxicillin,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Ceftriaxone,Linezolid,Levofloxacin,Chosen for its targeted activity and minimal side effects.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
diphtheria,Vancomycin,Erythromycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Doxycycline,Ciprofloxacin,Levofloxacin,Effective against common pathogens causing this disease.
strep_throat,Azithromycin,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Azithromycin,Linezolid,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Ceftriaxone,Erythromycin,Gentamicin,Effective against common pathogens causing this disease.
cholera,Doxycycline,Clindamycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
legionnaires_disease,Vancomycin,Erythromycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Azithromycin,Linezolid,Gentamicin,Effective against common pathogens causing this disease.
osteomyelitis,Vancomycin,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
whooping_cough,Azithromycin,Ciprofloxacin,Ampicillin,Chosen for its targeted activity and minimal side effects.
tuberculosis,Amoxicillin,Clindamycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Doxycycline,Clindamycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Ceftriaxone,Clindamycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Ceftriaxone,Ciprofloxacin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
skin_abscess,Vancomycin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Vancomycin,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Azithromycin,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Ceftriaxone,Linezolid,Levofloxacin,Effective against common pathogens causing this disease.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Azithromycin,Erythromycin,Rifampin,Effective against common pathogens causing this disease.
diphtheria,Ceftriaxone,Clindamycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Ceftriaxone,Ciprofloxacin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Ceftriaxone,Metronidazole,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Vancomycin,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Azithromycin,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
cholera,Vancomycin,Metronidazole,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Amoxicillin,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Azithromycin,Linezolid,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Azithromycin,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
whooping_cough,Azithromycin,Clindamycin,Gentamicin,Effective against common pathogens causing this disease.
tuberculosis,Amoxicillin,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Amoxicillin,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
chlamydia,Amoxicillin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Amoxicillin,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Vancomycin,Clindamycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
typhoid_fever,Vancomycin,Erythromycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
urinary_tract_infection,Ceftriaxone,Erythromycin,Ampicillin,Effective against common pathogens causing this disease.
campylobacteriosis,Vancomycin,Erythromycin,Rifampin,Chosen for its targeted activity and minimal side effects.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
diphtheria,Amoxicillin,Clindamycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Azithromycin,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
strep_throat,Amoxicillin,Metronidazole,Levofloxacin,Chosen for its targeted activity and minimal side effects.
pyelonephritis,Ceftriaxone,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
sinusitis,Amoxicillin,Ciprofloxacin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Azithromycin,Linezolid,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Azithromycin,Erythromycin,Gentamicin,Effective against common pathogens causing this disease.
ear_infection,Doxycycline,Erythromycin,Rifampin,Effective against common pathogens causing this disease.
osteomyelitis,Vancomycin,Clindamycin,Ampicillin,Effective against common pathogens causing this disease.
whooping_cough,Amoxicillin,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
tuberculosis,Vancomycin,Metronidazole,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
bacterial_endocarditis,Doxycycline,Clindamycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
chlamydia,Ceftriaxone,Clindamycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Azithromycin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Amoxicillin,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
typhoid_fever,Amoxicillin,Ciprofloxacin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Vancomycin,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
campylobacteriosis,Amoxicillin,Ciprofloxacin,Rifampin,Chosen for its targeted activity and minimal side effects.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Ceftriaxone,Erythromycin,Levofloxacin,Effective against common pathogens causing this disease.
diphtheria,Azithromycin,Linezolid,Tetracycline,Effective against common pathogens causing this disease.
bacterial_meningitis,Ceftriaxone,Ciprofloxacin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Ceftriaxone,Ciprofloxacin,Rifampin,Effective against common pathogens causing this disease.
pyelonephritis,Amoxicillin,Erythromycin,Levofloxacin,Effective against common pathogens causing this disease.
sinusitis,Azithromycin,Linezolid,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Amoxicillin,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Doxycycline,Ciprofloxacin,Rifampin,Chosen for its targeted activity and minimal side effects.
ear_infection,Amoxicillin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Amoxicillin,Linezolid,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
whooping_cough,Amoxicillin,Clindamycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
tuberculosis,Ceftriaxone,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_endocarditis,Azithromycin,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Azithromycin,Clindamycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Ceftriaxone,Clindamycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
skin_abscess,Azithromycin,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
typhoid_fever,Azithromycin,Linezolid,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Doxycycline,Erythromycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Amoxicillin,Clindamycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
